substance;value
﻿Acetylsalicylsäure;0,67
Adipheninhydrochlorid;0,75
Allantoin;0,52
Eingestellter Aloetrockenextrakt;0,65
Basisches Aluminiumacetat;0,59
Basisches Aluminiumacetat-tartrat;0,68
Aluminiumchlorid-Hexahydrat;0,53
Ambroxolhydrochlorid;0,51
Ammoniumbituminosulfonat/Glycerol 85 %-Mischung 1:1;0,80
Arginin;0,66
Atropinsulfat-Monohydrat;0,74
Baldrianwurzeltrockenextrakt;0,62
Eingestellter Belladonnablättertrockenextrakt;0,63
Benzocain;0,83
Benzoesäure;0,66
Betamethasonvalerat;0,92
Bisacodyl;0,76
Bismutchloridoxid;0,13
Basisches Bismutgallat;0,37
Basisches Bismutnitrat;0,20
Bismutoxid;0,18
Bromhexinhydrochlorid;0,59
Budesonid;0,71
Butylscopolaminiumbromid;0,70
Carbamazepin;0,70
Chininhydrochlorid-Dihydrat;0,76
Chloralhydrat;0,53
Chlortheophyllin;0,60
Cinchocainhydrochlorid;0,79
Clindamycinhydrochlorid;0,65
Clotrimazol;0,73
Codein-Monohydrat;0,74
Codeinphosphat-Hemihydrat;0,69
Coffein;0,67
Coffein-Natriumbenzoat;0,63
Dequaliniumchlorid;0,80
Dexamethason;0,71
Dexpanthenol-Konzentrat 50 % (Trägermaterial: Propylenglycol);0,83
Diazepam;0,70
Diclofenac-Natrium;0,64
Dihydroergotaminmesilat;0,74
Dimenhydrinat;0,75
Diphenhydraminhydrochlorid;0,82
Diprophyllin;0,64
Docusat-Natrium;0,82
Doxylaminhydrogensuccinat;0,74
Drofeninhydrochlorid;0,85
Ephedrinhydrochlorid;0,76
Ergotamintartrat;0,77
Erythromycin;0,79
Estradiolbenzoat;0,78
Estriol;0,75
Flupentixoldihydrochlorid;0,68
Glutathion;0,61
Glycerol 85 %;0,73
Guaifenesin;0,67
Hamamelisextrakt;0,66
Heparin-Natrium;0,56
Hydrocortison;0,79
Hydrocortisonacetat;0,73
Ibuprofen;0,90
Indometacin;0,68
Lactose-Monohydrat;0,55
Lidocainhydrochlorid-Monohydrat;0,81
Mannitol;0,59
Melatonin;0,65
Mepyraminmaleat;0,85
Mesalazin;0,57
Metamizol-Natrium-Monohydrat;0,70
Methadonhydrochlorid;0,74
Metoclopramid;0,73
Metoclopramidhydrochlorid;0,74
Metronidazol;0,67
Morphinhydrochlorid-Trihydrat;0,80
Naproxen;0,70
Natriumacetat-Trihydrat;0,61
Natriumbenzoat;0,59
Natriumdihydrogenphosphat-Dihydrat;0,47
Natriumhydrogencarbonat;0,46
Natriumpropionat;0,60
Neomycinsulfat;0,79
Nystatin;0,77
Omeprazol;0,66
Opium;0,67
Oxazepam;0,63
Papaverin;0,73
Papaverinhydrochlorid;0,72
Paracetamol;0,72
Phenazon;0,75
Phenobarbital;0,68
Phenobarbital-Natrium;0,68
Phenylbutazon;0,83
Piroxicam;0,66
Povidon-Iod;0,78
Prednisolon;0,70
Prednisolonacetat;0,75
Prednison;0,75
Procainhydrochlorid;0,80
Promethazinhydrochlorid;0,77
Propyphenazon;0,84
Pyridoxinhydrochlorid;0,69
Reisstärke;0,57
Rhabarbertrockenextrakt, Eingestellter;0,70
Rosskastaniensamentrockenextrakt, Eingestellter;0,64
Salicylamid;0,70
Sojalecithin;0,87
Sulfanilamid;0,62
Sulfathiazol;0,61
Sulindac;0,72
Testosteron;0,82
Tetracyclinhydrochlorid;0,60
Theophyllin;0,66
Theophyllin-Ethylendiamin;0,69
Theophyllin-Monohydrat;0,65
Thiaminchloridhydrochlorid;0,70
Triamcinolonacetonid-Verreibung 10 % mit Mannitol;0,59
Triamcinolonacetonid-Verreibung 10 % mit Stärke;0,62
Triglyceride, Mittelkettige;0,96
